0;1;2;3
Wyrażanie uczuć i potrzeb bez przemocy;Uzupełnij zdania odpowiednimi słowami;Communication CNV;
Je me;content(e) quand tu m'écoutes.;sens;czuję
J'ai;de parler avec toi.;besoin;potrzeba
Quand tu cries, je me sens;.;triste;smutek
Est-ce que tu;m'aider, s'il te plaît ?;pourrais;uprzejma prośba
Je;ton point de vue.;comprends;zrozumienie
J';quand nous travaillons ensemble.;apprécie;docenianie
Peux-tu;ce que tu ressens ?;m'expliquer;prośba o wyjaśnienie
Je suis;pour mon retard.;désolé(e);przeprosiny
Merci de;tes idées avec moi.;partager;dzielenie się
Comment;-tu aujourd'hui ?;te sens;pytanie o uczucia
J'ai besoin de;avant de répondre.;réfléchir;czas do namysłu
Je suis;pour ton aide.;reconnaissant(e);wdzięczność
Quand tu dis ça, je;blessé(e).;me sens;uczucie zranienia
Puis-je;ma frustration ?;exprimer;wyrażanie emocji
J'aimerais;tu sois à l'heure.;que;prośba/życzenie
Tu;important(e) pour moi.;es;wartość osoby
Je;de ton soutien.;suis touché(e);wzruszenie